iter	Logloss
0	0.6331733073
1	0.5837444068
2	0.5346174711
3	0.4925063355
4	0.4524595635
5	0.406487545
6	0.3650331919
7	0.3345911454
8	0.3053515724
9	0.2764049089
10	0.2517685541
11	0.2326909685
12	0.2137120453
13	0.1958703584
14	0.1758019617
15	0.1620058906
16	0.1482979765
17	0.1358017392
18	0.1243479376
19	0.1161861863
20	0.1072235799
21	0.09890108053
22	0.09140149009
23	0.08405351833
24	0.0771102502
25	0.07040686124
26	0.06517285801
27	0.0595146532
28	0.05534496585
29	0.05165601341
30	0.04788802602
31	0.04433621398
32	0.04151142658
33	0.03847829481
34	0.03578363431
35	0.03356657189
36	0.03115790723
37	0.02930182324
38	0.02730146884
39	0.02565904111
40	0.02391384131
41	0.02250245191
42	0.02110053036
43	0.01980690178
44	0.01856843416
45	0.01724538665
46	0.01620013777
47	0.0155434848
48	0.0146525383
49	0.01383856265
50	0.01309624779
51	0.01234900389
52	0.01158598795
53	0.01089787692
54	0.0104047417
55	0.009854931655
56	0.009352452512
57	0.008903353217
58	0.00847951692
59	0.008100000453
60	0.007741591045
61	0.007294005607
62	0.007044352486
63	0.006647742483
64	0.00621080074
65	0.005870116028
66	0.005638614386
67	0.005353337092
68	0.005113546694
69	0.004871634401
70	0.004738871886
71	0.004524753698
72	0.004333916252
73	0.004122483148
74	0.003961379985
75	0.003864555605
76	0.003774378737
77	0.003593880504
78	0.003489299807
79	0.003368073163
80	0.003293122943
81	0.003233072231
82	0.003116466456
83	0.003013184373
84	0.002901946453
85	0.002825431283
86	0.002765587952
87	0.002695853923
88	0.00264018017
89	0.002541510633
90	0.002490416596
91	0.002411030693
92	0.002330967162
93	0.002330948435
94	0.00226280132
95	0.00225828842
96	0.002199125492
97	0.002129042823
98	0.002082487581
99	0.002030450736
100	0.001971025865
101	0.001966739765
102	0.001910322262
103	0.001910322262
104	0.001851488207
105	0.001847906901
106	0.00181856796
107	0.00181856611
108	0.001814402312
109	0.001814397919
110	0.001766543715
111	0.001763441211
112	0.001759568254
113	0.001734646383
114	0.001681407447
115	0.00166025334
116	0.001656967268
117	0.001617012259
